C_wt,dL,Stress
-1.0260447642909187,-1.8148995836874817,-2.247306546652082
-1.0260447642909187,-1.8148604155454053,-2.2470551051152645
-1.0260447642909187,-1.8142071649768694,-2.239318110689883
-1.0260447642909187,-1.8110714803425283,-2.22754869798228
-1.0260447642909187,-1.8051471556648446,-2.210352050671403
-1.0260447642909187,-1.7981043804182975,-2.182250075417192
-1.0260447642909187,-1.790835092928642,-2.1551312632969784
-1.0260447642909187,-1.7836183207995913,-2.129808697431468
-1.0260447642909187,-1.7754757731581943,-2.1039616239274013
-1.0260447642909187,-1.769904321312973,-2.080822242450854
-1.0260447642909187,-1.7623245164943635,-2.0594767488967363
-1.0260447642909187,-1.7556829786951311,-2.037893400037449
-1.0260447642909187,-1.7485222538562006,-2.0178570905256117
-1.0260447642909187,-1.7413550076674515,-1.999006272712371
-1.0260447642909187,-1.734752880496769,-1.9803001425747977
-1.0260447642909187,-1.7265837051432773,-1.9622724776673819
-1.0260447642909187,-1.7188152869155873,-1.9437136052828992
-1.0260447642909187,-1.7122511040293122,-1.9274031375140612
-1.0260447642909187,-1.7040769900588244,-1.909904308868556
-1.0260447642909187,-1.6962349743463043,-1.8941494634186489
-1.0260447642909187,-1.6882237260492385,-1.8779842673029221
-1.0260447642909187,-1.678512881879292,-1.8627681249579968
-1.0260447642909187,-1.6690371206107528,-1.8469774587755348
-1.0260447642909187,-1.6615490268995932,-1.832465188920426
-1.0260447642909187,-1.6534342432112543,-1.8175395986058591
-1.0260447642909187,-1.6477582583251091,-1.8050889420452878
-1.0260447642909187,-1.643176720363324,-1.792993091745433
-1.0260447642909187,-1.636036298635078,-1.7791866073870917
-1.0260447642909187,-1.6290948106396899,-1.7656448485420795
-1.0260447642909187,-1.622784829943406,-1.751739523692362
-1.0260447642909187,-1.6162265779885319,-1.7381833565721134
-1.0260447642909187,-1.609311898430962,-1.7259247122210846
-1.0260447642909187,-1.609612625719764,-1.7130767908166078
-1.0260447642909187,-1.6034598635106758,-1.6997296356274898
-1.0260447642909187,-1.5962424289829344,-1.6891131518606222
-1.0260447642909187,-1.589879136535443,-1.6775544675326812
-1.0260447642909187,-1.581828645244106,-1.6649597084954668
-1.0260447642909187,-1.576970254208277,-1.6537502630489913
-1.0260447642909187,-1.5685227098199446,-1.642329253369886
-1.0260447642909187,-1.562553855156768,-1.63097894714157
-1.0260447642909187,-1.5562634145798933,-1.619837414843733
-1.0260447642909187,-1.547399904083225,-1.608902327214929
-1.0260447642909187,-1.542207086679413,-1.5984107486242096
-1.0260447642909187,-1.5356656798027466,-1.587316382050007
-1.0260447642909187,-1.5282391220667486,-1.576196847247437
-1.0260447642909187,-1.5214381278319464,-1.565131699642606
-1.0260447642909187,-1.5147871577644336,-1.5538665638893823
-1.0260447642909187,-1.508074570677572,-1.5431622534022167
-1.0260447642909187,-1.505387371830485,-1.533024671673771
-1.0260447642909187,-1.4977992110371974,-1.5223210188841743
-1.0260447642909187,-1.4896054516804906,-1.5125731284987836
-1.0260447642909187,-1.4816895306739637,-1.5027195334275805
-1.0260447642909187,-1.4744762487630887,-1.4926947455860693
-1.0260447642909187,-1.4689474951593715,-1.482757188435929
-1.0260447642909187,-1.4617150068151348,-1.4735144447141042
-1.0260447642909187,-1.4567285455966694,-1.463880823337531
-1.0260447642909187,-1.450193667452146,-1.4540783353630804
-1.0260447642909187,-1.4437210000171583,-1.444273116344424
-1.0260447642909187,-1.4373665260169362,-1.4352658744003128
-1.0260447642909187,-1.4304010408177688,-1.4262638566114756
-1.0260447642909187,-1.4232780379242005,-1.4164708745231314
-1.0260447642909187,-1.4165767955439843,-1.4076374078593301
-1.0260447642909187,-1.4099211282194222,-1.3980777608907926
-1.0260447642909187,-1.4039289142063787,-1.3885157226641316
-1.0260447642909187,-1.3970937045776854,-1.3797748710028437
-1.0260447642909187,-1.3940700117977927,-1.3713130378734233
-1.0260447642909187,-1.3873304345686948,-1.3620731495065832
-1.0260447642909187,-1.3798821113339963,-1.353779954107459
-1.0260447642909187,-1.3735488182305953,-1.3452374452188893
-1.0260447642909187,-1.3676175204779313,-1.3369312887663043
-1.0260447642909187,-1.360298405145154,-1.3285845319193719
-1.0260447642909187,-1.352894431087555,-1.3209302496328548
-1.0260447642909187,-1.347409672509929,-1.3127837141475283
-1.0260447642909187,-1.3413503467431116,-1.3040930518978076
-1.0260447642909187,-1.3349376011019738,-1.295602260042942
-1.0260447642909187,-1.3271046021941093,-1.287596790761114
-1.0260447642909187,-1.3213183864894382,-1.2791510255578156
-1.0260447642909187,-1.3141123925359088,-1.2709392121839538
-1.0260447642909187,-1.310938528996007,-1.263248186186194
-1.0260447642909187,-1.305003188608689,-1.2555298262558194
-1.0260447642909187,-1.298079742886626,-1.247648086595138
-1.0260447642909187,-1.2917266053617802,-1.2395253320714437
-1.0260447642909187,-1.2825318171902322,-1.2311952993479474
-1.0260447642909187,-1.2775099225977882,-1.2233824340276922
-1.0260447642909187,-1.2710108621575336,-1.215368242521139
-1.0260447642909187,-1.2634176482992634,-1.2077037213586161
-1.0260447642909187,-1.2580168055551928,-1.2004361265404964
-1.0260447642909187,-1.2516245983835548,-1.1920307891158382
-1.0260447642909187,-1.2450024456946374,-1.1839034773976003
-1.0260447642909187,-1.237779067304586,-1.1764648609567876
-1.0260447642909187,-1.2309448637110967,-1.168973642049362
-1.0260447642909187,-1.2248190543526647,-1.1614341624202746
-1.0260447642909187,-1.2187616065098974,-1.154366147988766
-1.0260447642909187,-1.2111672462934955,-1.1472561340476266
-1.0260447642909187,-1.2054717828438601,-1.1401013820407184
-1.0260447642909187,-1.1987628501729652,-1.1327503455539738
-1.0260447642909187,-1.1921093207273843,-1.1253946007793028
-1.0260447642909187,-1.185592011751372,-1.1183355326639726
-1.0260447642909187,-1.1787891901509886,-1.1107525693948097
-1.0260447642909187,-1.1725796534796362,-1.1038035153808319
-1.0260447642909187,-1.16625994279168,-1.0965062447503435
-1.0260447642909187,-1.1590157833697217,-1.089515455430091
-1.0260447642909187,-1.1528054777736685,-1.0821901643210692
-1.0260447642909187,-1.147015280061881,-1.075321218122129
-1.0260447642909187,-1.1425701854158568,-1.0680342555959557
-1.0260447642909187,-1.1354598261735371,-1.0609270937114001
-1.0260447642909187,-1.1300052761697403,-1.0542483174282153
-1.0260447642909187,-1.123812616856379,-1.0473102413227966
-1.0260447642909187,-1.1181869952978825,-1.0406364657288645
-1.0260447642909187,-1.11247867066093,-1.034131852334325
-1.0260447642909187,-1.1104754551197125,-1.0317478905354431
-1.0260447642909187,-1.111563738557947,-1.0315993779911072
-1.0260447642909187,-1.1040636925573606,-1.0246858900507234
-1.0260447642909187,-1.0953636577309276,-1.0179762744841594
-1.0260447642909187,-1.0886592179468686,-1.011470897637316
-1.0260447642909187,-1.0829803516226666,-1.0050247089667792
-1.0260447642909187,-1.076759032675555,-0.9985167486531519
-1.0260447642909187,-1.0704541615861793,-0.9920981919674885
-1.0260447642909187,-1.0626990442015969,-0.9854623249601002
-1.0260447642909187,-1.057540283924435,-0.9791444007294504
-1.0260447642909187,-1.0518595763150071,-0.9725253310082107
-1.0260447642909187,-1.0449662163704612,-0.9661097610943389
-1.0260447642909187,-1.035964025184507,-0.959081047849792
-1.0260447642909187,-1.0302966238767088,-0.9523981745869168
-1.0260447642909187,-1.0241515298730404,-0.946101361602104
-1.0260447642909187,-1.0182788680717667,-0.9394532792942492
-1.0260447642909187,-1.0112309898144782,-0.9328333897218248
-1.0260447642909187,-1.004860171269885,-0.9266707366357533
-1.0260447642909187,-0.9980207670196184,-0.9202538024607986
-1.0260447642909187,-0.9904202577718247,-0.913880341632805
-1.0260447642909187,-0.9846712519445938,-0.9073231752426028
-1.0260447642909187,-0.9791974258645146,-0.901360204510886
-1.0260447642909187,-0.9723699390102003,-0.8953992224077436
-1.0260447642909187,-0.9654189549469017,-0.8889202060550161
-1.0260447642909187,-0.959077712623019,-0.8824614493289024
-1.0260447642909187,-0.9529553621779576,-0.8766069977069613
-1.0260447642909187,-0.9463226563496179,-0.8706742023789883
-1.0260447642909187,-0.939927749761985,-0.8642112127583005
-1.0260447642909187,-0.9330750656759124,-0.8578751536241301
-1.0260447642909187,-0.9268124754361522,-0.8514708597095856
-1.0260447642909187,-0.9210927103715034,-0.8456255800807704
-1.0260447642909187,-0.9148779272227175,-0.8396114003672874
-1.0260447642909187,-0.9077547478896315,-0.8336356432034209
-1.0260447642909187,-0.9016103308220009,-0.8276591600021982
-1.0260447642909187,-0.8953159406267008,-0.8213979973968846
-1.0260447642909187,-0.8894554172378707,-0.8157315346153751
-1.0260447642909187,-0.8830287963343901,-0.8097364175468426
-1.0260447642909187,-0.8763792716773707,-0.8035416097685196
-1.0260447642909187,-0.8700123472395559,-0.7975297693488412
-1.0260447642909187,-0.865711840314418,-0.7918181446596367
-1.0260447642909187,-0.8612628716162376,-0.7860608327143931
-1.0260447642909187,-0.853961506849359,-0.7799489144042472
-1.0260447642909187,-0.8473011763127024,-0.7740088403227996
-1.0260447642909187,-0.8419264687851813,-0.7685247418557833
-1.0260447642909187,-0.8353616612004142,-0.7625093840359859
-1.0260447642909187,-0.8298408066500966,-0.7566979906098011
-1.0260447642909187,-0.8235494378645354,-0.7508372219564154
-1.0260447642909187,-0.8162990277449806,-0.7453230415449713
-1.0260447642909187,-0.8108045320553928,-0.7398971901038771
-1.0260447642909187,-0.8038420233012249,-0.7341186521365484
-1.0260447642909187,-0.798103860809699,-0.7283512256729809
-1.0260447642909187,-0.7913645183982747,-0.7226067616657903
-1.0260447642909187,-0.7865581023958096,-0.7170454164809016
-1.0260447642909187,-0.7803899813768292,-0.7111264442143987
-1.0260447642909187,-0.77441564967746,-0.7056936924468898
-1.0260447642909187,-0.7680530786295272,-0.7000589682607992
-1.0260447642909187,-0.7616043114434986,-0.6946520312215235
-1.0260447642909187,-0.755263872233876,-0.688712175095041
-1.0260447642909187,-0.7488619732069322,-0.6829751397493875
-1.0260447642909187,-0.743471202584438,-0.6773577876272021
-1.0260447642909187,-0.7383385820085182,-0.6720918007717553
-1.0260447642909187,-0.7319596450480846,-0.6667174091578506
-1.0260447642909187,-0.7256880344077823,-0.6606671695793932
-1.0260447642909187,-0.7183458894274983,-0.6550204202485326
-1.0260447642909187,-0.712123066302032,-0.6498209397730506
-1.0260447642909187,-0.7073705596404656,-0.6441625661689286
-1.0260447642909187,-0.700223628732538,-0.6384320757458878
-1.0260447642909187,-0.6940027583156653,-0.6331428747530108
-1.0260447642909187,-0.6883632391342781,-0.6274093112491602
-1.0260447642909187,-0.6824391602778377,-0.6219223724536532
-1.0260447642909187,-0.6768660638313649,-0.6167903894046083
-1.0260447642909187,-0.6708404740674808,-0.6112023254724869
-1.0260447642909187,-0.6655770088412281,-0.6061313614383612
-1.0260447642909187,-0.6593890161766336,-0.6008914197912248
-1.0260447642909187,-0.6558662370990824,-0.595649016588095
-1.0260447642909187,-0.6496786914253956,-0.5902225746999218
-1.0260447642909187,-0.6437873657051897,-0.5849516718859414
-1.0260447642909187,-0.6380188544869587,-0.5797820431106381
-1.0260447642909187,-0.6308120528492793,-0.5744319080145511
-1.0260447642909187,-0.6241179413876076,-0.5689865823977939
-1.0260447642909187,-0.6186563715581458,-0.5636784744723726
-1.0260447642909187,-0.6137822180292919,-0.5586779130507592
-1.0260447642909187,-0.6072823142518624,-0.5533411674299376
-1.0260447642909187,-0.6018243897526887,-0.5484336607648197
-1.0260447642909187,-0.5976276840987574,-0.5432314207071661
-1.0260447642909187,-0.5903640450226704,-0.5383588662634465
-1.0260447642909187,-0.5841447802085064,-0.5332540356167096
-1.0260447642909187,-0.5784995810114664,-0.5280148591513809
-1.0260447642909187,-0.5728612759797822,-0.5227967124818673
-1.0260447642909187,-0.5676970427365444,-0.5174968367874896
-1.0260447642909187,-0.5619431320570007,-0.5122530868217668
-1.0260447642909187,-0.5570101591867216,-0.5072946380412355
-1.0260447642909187,-0.5496137834987276,-0.5021056922902366
-1.0260447642909187,-0.5434267722296441,-0.49713569505251465
-1.0260447642909187,-0.5380713429362638,-0.49222186218180225
-1.0260447642909187,-0.5323375981657635,-0.4874510421941936
-1.0260447642909187,-0.5282015650682597,-0.48263205791532315
-1.0260447642909187,-0.5217261342609325,-0.47794352167996884
-1.0260447642909187,-0.5177145775697792,-0.4732591055785216
-1.0260447642909187,-0.5097868022169838,-0.4682716969461664
-1.0260447642909187,-0.505959656983191,-0.4634849610770909
-1.0260447642909187,-0.49876106030386613,-0.4586303412915319
-1.0260447642909187,-0.49402273350539716,-0.45390705573889156
-1.0260447642909187,-0.4886695467495421,-0.44922405921572667
-1.0260447642909187,-0.4829241164875571,-0.4444394536323227
-1.0260447642909187,-0.4785775825139071,-0.43966159791624476
-1.0260447642909187,-0.47280794409416965,-0.4347002791319379
-1.0260447642909187,-0.4667464583964338,-0.4296951920221038
-1.0260447642909187,-0.46165021031254055,-0.4250696781504982
-1.0260447642909187,-0.45543740645938074,-0.42015022744291447
-1.0260447642909187,-0.45093795880434967,-0.41541994855487724
-1.0260447642909187,-0.44454945305283666,-0.4104969495466833
-1.0260447642909187,-0.43946590280155273,-0.4059694847327828
-1.0260447642909187,-0.43401507064886513,-0.4014541045284417
-1.0260447642909187,-0.4285963975953229,-0.3968431039808877
-1.0260447642909187,-0.4224895310269131,-0.3919442801683775
-1.0260447642909187,-0.41655512479173196,-0.3869695083495726
-1.0260447642909187,-0.41089984180937084,-0.38235770882163644
-1.0260447642909187,-0.4046831567087283,-0.3772772954246849
-1.0260447642909187,-0.3994263759878701,-0.37244360811638794
-1.0260447642909187,-0.39439070400968335,-0.3678007952763796
-1.0260447642909187,-0.38812914099668194,-0.3630277110356886
-1.0260447642909187,-0.38299932429175954,-0.35851339480295386
-1.0260447642909187,-0.37651553349238204,-0.3536600934025093
-1.0260447642909187,-0.3706100682698842,-0.34880714693337755
-1.0260447642909187,-0.36534878409116284,-0.344158041946309
-1.0260447642909187,-0.35954918942667635,-0.33923053785324864
-1.0260447642909187,-0.35426930213172364,-0.3346790304575074
-1.0260447642909187,-0.34881605573496915,-0.33030106142363513
-1.0260447642909187,-0.3428361089725598,-0.325509411786987
-1.0260447642909187,-0.33730737444084213,-0.32085344636089225
-1.0260447642909187,-0.33348864712011694,-0.3161737105903901
-1.0260447642909187,-0.32923321845476067,-0.3114640310261636
-1.0260447642909187,-0.32219955752780577,-0.30681512284611895
-1.0260447642909187,-0.3171008051491975,-0.30210476053696217
-1.0260447642909187,-0.3118965609632832,-0.2975471415616856
-1.0260447642909187,-0.30622600514271786,-0.2930660002749748
-1.0260447642909187,-0.3001932752543995,-0.28864625306013036
-1.0260447642909187,-0.2949641032978422,-0.2843500322694179
-1.0260447642909187,-0.2895919675343177,-0.2800518437783952
